Company,Ticker,Sector,PE Ratio,52 Week High,52 Week Low,Avg Volume,Market Cap
a.k.a. Brands Holding Corp.,AKA,Consumer Cyclical,,33.728,8.03,13070,85866392
Acadia Realty Trust,AKR,Real Estate,102.42105,26.29,16.14,1148963,2522677504
Air Lease Corporation,AL,Industrials,12.276277,52.31,38.25,847340,4568708096
Albemarle Corporation,ALB,Basic Materials,,137.5,49.43,3110436,6112028160
Alcon Inc.,ALC,Healthcare,44.668293,101.1,77.54,1718152,45320736768
"ALLETE, Inc.",ALE,Utilities,20.920969,65.99,59,354068,3759125760
"Alexander & Baldwin, Inc.",ALEX,Real Estate,18.943182,20.3,15.7,492850,1212099072
Alamo Group Inc.,ALG,Industrials,16.78193,208.66,157.07,116885,1953719424
"Alight, Inc.",ALIT,Technology,,9.45,4.49,8555468,2685756928
"Alaska Air Group, Inc.",ALK,Industrials,14.210812,78.08,32.62,3564273,5372768768
The Allstate Corporation,ALL,Financial Services,11.034138,212.91,156.66,1971485,49684422656
Allegion plc,ALLE,Industrials,17.941349,156.1,113.27,1086001,10558493696
Ally Financial Inc.,ALLY,Financial Services,54.098213,45.46,29.52,4518800,9305169920
"Allison Transmission Holdings, Inc.",ALSN,Consumer Cyclical,10.306859,122.53,71.49,834563,7299633152
Alta Equipment Group Inc.,ALTG,Industrials,,12.085,3.54,225011,135419680
Allurion Technologies Inc.,ALUR,Healthcare,,88.75,2.15,2824903,13388169
"Autoliv, Inc.",ALV,Consumer Cyclical,9.848153,129.38,75.49,1008624,6592974336
"Alexander's, Inc.",ALX,Real Estate,23.304964,251.63,184.76,15826,1006953344
Antero Midstream Corporation,AM,Energy,19.987953,18.49,13.12,3874380,7940073984
"Ambac Financial Group, Inc.",AMBC,Financial Services,,18.45,6.33,1098557,373987584
Ardagh Metal Packaging S.A.,AMBP,Consumer Cyclical,,4.26,2.5,1573252,1592870400
"AMC Entertainment Holdings, Inc.",AMC,Communication Services,,11.88,2.45,9100160,1153263360
Amcor plc,AMCR,Consumer Cyclical,16.845455,11.48,8.37,28344978,13391076352
"AMETEK, Inc.",AME,Industrials,26.070827,198.33,145.02,1466973,35673489408
"Affiliated Managers Group, Inc.",AMG,Financial Services,10.11269,199.52,139.22,240940,4404080640
American Homes 4 Rent,AMH,Real Estate,33.546295,41.41,31.68,2380632,15272285184
"AMN Healthcare Services, Inc.",AMN,Healthcare,,70.07,17.4725,988647,678826432
"Ameriprise Financial, Inc.",AMP,Financial Services,13.673025,582.05,385.74,582908,43271520256
"Amprius Technologies, Inc.",AMPX,Industrials,,4.205,0.613,3254719,241750352
Amplify Energy Corp.,AMPY,Energy,7.806452,8.15,2.27,557727,97605624
"Alpha Metallurgical Resources, Inc.",AMR,Basic Materials,8.386984,347.6,100,317218,1564366080
"Ameresco, Inc.",AMRC,Industrials,8.070093,39.68,8.545,734850,453693280
American Tower Corporation,AMT,Real Estate,31.60435,243.56,170.46,2899765,1.02083E+11
Amerant Bancorp Inc.,AMTB,Financial Services,,27,16.55,189613,783872576
AMTD IDEA Group,AMTD,Financial Services,,1.97,0.95,28711,1077421568
"Amentum Holdings, Inc.",AMTM,Industrials,,34.5,16.01,2529659,4474360320
American Well Corporation,AMWL,Healthcare,,12.95,5,64763,111143200
"América Móvil, S.A.B. de C.V.",AMX,Communication Services,35.076088,20.31,13.1,2094231,48992317440
"AutoNation, Inc.",AN,Consumer Cyclical,9.62404,198.5,148.33,538816,6394710016
Arista Networks Inc,ANET,Technology,30.1861,133.575,59.43,12329637,84522729472
Abercrombie & Fitch Co.,ANF,Consumer Cyclical,6.652479,196.99,65.4,2530822,3475325952
,ANRO,Healthcare,,17.55,1.6,330985,62265828
"Annovis Bio, Inc.",ANVS,Healthcare,,20,1.11,422259,28644714
Abrdn Total Dynamic Dividend Fund,AOD,Financial Services,4.0466323,9.14,6.99,486149,823416128
